Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Category,Total of cases
200501JC30827,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,19,-1,,
200501JC30851,1,1,Driver/Rider,2,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JI40081,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,1,,
200501JI40102,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501JI40198,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501JI40263,1,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501JI40279,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,4,1,,
200501JI40328,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,9,-1,,
200501JI40345,2,1,Driver/Rider,1,-1,Unknown,3,0,0,0,0,-1,1,1,,
200501FH10483,2,1,Driver/Rider,1,5,0 - 5 y/o,3,0,0,0,0,-1,1,-1,,
200501CW10693,1,1,Driver/Rider,1,8,6 - 10 y/o,3,0,0,0,0,-1,1,1,,
200501FH10350,1,1,Driver/Rider,1,8,6 - 10 y/o,3,0,0,0,0,-1,1,1,,
200501GD10248,2,1,Driver/Rider,2,9,6 - 10 y/o,3,0,0,0,0,-1,1,1,,
200501GD10379,2,1,Driver/Rider,1,9,6 - 10 y/o,3,0,0,0,0,-1,1,-1,,
200501GD10673,2,1,Driver/Rider,1,9,6 - 10 y/o,3,0,0,0,0,-1,1,-1,,
200501GD10708,2,1,Driver/Rider,2,9,6 - 10 y/o,2,0,0,0,0,-1,1,1,,
200501GD10711,2,1,Driver/Rider,1,9,6 - 10 y/o,3,0,0,0,0,-1,1,-1,,
200501HT20420,2,1,Driver/Rider,1,10,6 - 10 y/o,3,0,0,0,0,-1,1,1,,
200501JC30054,1,1,Driver/Rider,1,10,6 - 10 y/o,3,0,0,0,0,-1,1,-1,,
200501JC30142,2,1,Driver/Rider,1,10,6 - 10 y/o,3,0,0,0,0,-1,1,1,,
200501JC30281,2,1,Driver/Rider,1,8,6 - 10 y/o,3,0,0,0,0,-1,1,-1,,
200501CW10513,1,1,Driver/Rider,1,15,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501CW10741,1,1,Driver/Rider,1,11,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501CW11076,2,1,Driver/Rider,1,12,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501CW11397,3,1,Driver/Rider,1,13,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501CW11478,2,1,Driver/Rider,1,14,10 - 15 y/o,2,0,0,0,0,-1,1,1,,
200501CW11526,2,2,Driver/Rider,1,14,10 - 15 y/o,2,0,0,0,0,-1,1,1,,
200501CW11753,2,1,Driver/Rider,1,11,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501EO00079,2,1,Driver/Rider,1,15,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
